,price,address,beds,reception,bathrooms,contact_number
0,"£275,000","Long Acre, Basildon, Essex SS14",3,1,1,
1,"£280,000","Abrahams Close, Basildon SS14",2,1,2,
2,"£300,000","Gobions, Basildon, Essex SS16",3,2,1,
3,"£320,000","Britten Avenue, Basildon SS14",2,1,3,
4,"£375,000","Cumberland Drive, Laindon, Basildon SS15",3,1,1,
5,"£400,000","Bruton Link, Basildon SS15",3,1,2,
6,"£290,000","Ayletts, Basildon SS14",3,1,1,
7,"£315,000","Blackthorn Court, Langdon Hills, Basildon SS16",2,1,1,
8,"£325,000","Abrahams Close, Basildon SS14",2,1,3,
9,"£275,000","Rosecroft Close, Langdon Hills, Basildon, Essex SS16",,,,
10,"£375,000","Abingdon Close, Basildon SS15",3,1,2,
11,"£275,000","Driftway, Basildon, Essex SS16",4,1,1,
12,"£270,000","Buckingham Road, Laindon, Essex SS15",2,1,1,
13,"£668,995F","""Harrogate"" at Little Malgraves Industrial Estate, Lower Dunton Road, Bulphan, Upminster RM14",,,,
14,"£260,000","Beambridge Place, Basildon SS13",3,1,1,
15,"£225,000","Cherrydown East, Basildon, Essex SS16",,,,
16,"£260,000","Buckerills, Basildon, Essex SS13",,,,
17,"£350,000","Gun Hill Place, Woodlands Estate, Kingswood SS16",4,1,1,
18,"£400,000","Sparrows Herne, Basildon, Essex SS16",4,1,1,
19,"£210,000","Southernhay Close, Basildon SS14",2,1,1,
20,"£229,000","Bramble Tye, Laindon, Basildon, Essex SS15",2,1,1,
21,"£210,000","Churchill Avenue, Basildon SS14",2,1,1,
22,"£195,000","Warwick Crescent, Basildon SS15",1,1,1,
23,"£255,000","Rectory Road, Pitsea, Basildon SS13",,,,
24,"£275,000","Driftway, Basildon, Essex SS16",4,1,1,
25,"£250,000","Basildon, Essex, United Kingdom SS15",3,1,2,
26,"£335,000","The Slades, Basildon, Essex SS16",3,1,1,
27,"£290,000","Kent View Road, Vange, Basildon SS16",3,1,1,
28,"£500,000","Royston Avenue, Basildon, Essex SS15",5,1,2,
29,"£585,000","Stamford Drive, Basildon, Essex SS15",5,3,3,
30,"£200,000","Walnut Close, Basildon SS15",2,1,1,
31,"£325,000","Basildon, Essex, United Kingdom SS16",3,1,1,
