,price,address,beds,reception,bathrooms,contact_number
0,"£215,000","Plot 6, Ernest Luff Court, Luff Way, Walton-On-The-Naze CO14",1,1,1,
1,"£145,000","Fingringhoe Road, Colchester CO2",1,1,1,
2,"£220,000","Orton Court, Mawney Road, Romford RM7",1,1,1,
3,"£199,995","Plot 5, Ernest Luff Court, Luff Way, Walton-On-The-Naze CO14",1,1,1,
4,"£385,000","Daffodil Avenue, Pilgrims Hatch, Brentwood CM15",3,1,1,
5,"£625,000","Nelson Close, Warley, Brentwood CM14",4,1,2,
6,"£400,000","Springfield, Benfleet SS7",2,2,1,
7,"£290,000","Ram Gorse, Harlow CM20",3,1,1,
8,"£190,000","Tugby Place, Chelmsford CM1",1,1,1,
9,"£255,000","Rectory Road, Pitsea, Basildon SS13",,,,
10,"£350,000","Warley Avenue, Dagenham RM8",3,2,1,
11,"£190,000","Elmhurst Road, Harwich CO12",3,2,1,
12,"£200,000","1 Arboretum Place, Barking IG11",1,1,1,
13,"£230,000","Chapelfields, Kirby Cross, Frinton-On-Sea CO13",3,1,1,
14,"£700,000","The Street, High Easter, Chelmsford CM1",4,2,2,
15,"£825,000","Coxtie Green Road, Pilgrims Hatch, Brentwood CM14",4,,,
16,"£750,000","Bell Street, Great Baddow, Chelmsford CM2",3,,,
17,"£625,000","Undercliff Gardens, Leigh-On-Sea SS9",2,1,1,
18,"£485,000","Farm Hill Road, Waltham Abbey EN9",3,3,2,
19,"£170,000","Chalkwell Park Drive, Leigh-On-Sea SS9",1,1,1,
20,"£335,000","Counting House Lane, Dunmow CM6",3,1,1,
21,"£425,000","Sutton Road, Rochford SS4",4,2,2,
22,"£435,000","Medlar Close, Harlow CM17",3,1,2,
23,"£270,000","Haygreen Road, Witham CM8",2,1,1,
24,"£250,000","Meteor Road, Westcliff-On-Sea SS0",2,1,1,
25,"£380,000","Clare Court, Thaxted, Dunmow CM6",4,3,1,
26,"£240,000","St. James's Road, Brentwood CM14",1,1,1,
27,"£475,000","Water Lane, Radwinter, Saffron Walden CB10",3,2,2,
28,"£360,000","Neil Armstrong Way, Eastwood SS9",3,1,2,
29,"£220,000","29 Leaf Hill Drive, Romford RM3",1,1,1,
30,"£289,000","34 Church Lane, Colchester CO3",4,2,2,
31,"£215,000","Margaret Way, Ilford, Essex IG4",2,1,1,
32,"£500,000","Garry Way, Romford RM1",3,2,1,
33,"£275,000","Driftway, Basildon, Essex SS16",4,1,1,
34,"£325,000","Stoney Bridge Drive, Waltham Abbey, Essex EN9",2,1,2,
35,"£325,000","Margaret Way, Ilford, Essex IG4",2,1,1,
36,"£325,000","Heathcote Avenue, Ilford, Essex IG5",3,1,1,
37,"£325,000","High Road, Chadwell Heath RM6",2,,,
38,"£480,000","Rayleigh Road, Benfleet SS7",4,,,
39,"£285,000","Turner Close, Shoeburyness SS3",3,,,
40,"£210,000","Cordelia Drive, Colchester CO4",2,,,
41,"£425,000","Bromley Road, Ardleigh, Colchester CO7",3,,,
42,"£325,000","Henry Everett Grove, Colchester CO2",3,,,
43,"£650,000","Green Acres, Coggeshall, Colchester CO6",4,,,
44,"£340,000","Blade Road, Colchester CO4",4,,,
45,"£160,000","Aerofoil Grove, Colchester CO4",2,,,
46,"£175,000","Friday Wood Green, Colchester CO2",1,,,
47,"£550,000","Endsleigh Court, Colchester CO3",4,,,
48,"£315,000","James Carter Road, Colchester CO3",3,,,
49,"£165,000","York Road, Billericay CM12",,1,1,
50,"£465,000","Mountnessing Road, Billericay CM12",4,1,1,
51,"£295,000","Heywood Way, Heybridge, Maldon CM9",4,,,
52,"£500,000","Mill Lane, Danbury CM3",4,,,
53,"£230,000","Cunnington Road, Braintree CM7",2,,,
54,"£700,000","Quay Street, Wivenhoe, Colchester CO7",3,,,
55,"£265,000","Turner Avenue, Lawford, Manningtree CO11",3,,,
56,"£495,000","Nayland Road, Colchester CO4",4,,,
57,"£650,000","Oaklands Crescent, Chelmsford CM2",4,,,
58,"£450,000","Bouverie Road, Chelmsford CM2",3,,,
59,"£300,000","Agnes Silverside Close, Colchester CO2",3,,,
60,"£300,000","Monarch Lane, Great Horkesley, Colchester CO6",3,,,
61,"£350,000","Rectory Road, Rowhedge, Colchester CO5",4,,,
62,"£160,000","Cavalry Road, Colchester CO2",1,,,
63,"£300,000","Beehive Lane, Ilford IG1",2,,,
64,"£450,000","Judge Road, Chancellor Park, Chelmsford CM2",3,,,
65,"£230,000","Writtle Road, Chelmsford CM1",2,,,
66,"£750,000","Lady Lane, Old Moulsham, Chelmsford CM2",4,,,
67,"£375,000","Hunters Way, Springfield, Chelmsford CM1",3,,,
68,"£309,995","Swallow Path, Tile Kiln, Chelmsford CM2",3,,,
69,"£239,995","Church Court, Church Road, Boreham, Chelmsford CM3",2,,,
70,"£325,000","Wood Lane, Dagenham, Essex RM8",1,1,1,
71,"£350,000","Fullers Road, London E18",2,,,
72,"£550,000","Greenwood Gardens, Ilford IG6",3,1,1,
73,"£495,000","Edward Crescent, Halstead CO9",4,2,1,
74,"£240,000","Princes Road, Romford RM1",2,1,1,
75,"£250,000","Cedar Road, Hornchurch RM12",1,1,1,
76,"£525,000","Forest View Road, Walthamstow, London E17",3,2,1,
