,price,address,beds,reception,bathrooms,contact_number
0,"£279,950","Salisbury Road, High Barnet, Hertfordshire EN5",1,1,1,
1,"£620,000","Cedarwood Mansions, Deptford Landings, Deptford, London SE8",2,1,2,
2,"£295,000","Wellington Road, Hampton Hill, Hampton TW12",1,1,1,
3,"£440,000","Hurlstone Road, London SE25",3,2,1,
4,"£420,000","John Archer Way, London SW18",1,1,1,
5,"£475,000","Marlborough Road, London N19",2,1,1,
6,"£425,000F","Wellington Way, London E3",2,1,1,
7,"£585,000","Clock House Road, Beckenham BR3",3,2,1,
8,"£500,000","Waltham Road, Woodford Green IG8",3,1,1,
9,"£625,000","Dolphin Road, Northolt UB5",2,1,1,
10,"£550,000","Mutton Lane, Potters Bar, Herts EN6",3,1,1,
11,"£600,000","Studley Road, London E7",6,2,2,
12,"£400,000","Halefield Road, London N17",2,2,1,
13,"£300,000","Courier Court, 2 Guardian Avenue, London NW9",1,1,1,
14,"£685,000","Goodman Crescent, London SW2",3,2,2,
15,"£575,000","Fulford Road, West Ewell, Epsom KT19",4,2,2,
16,"£400,000","Overbury Crescent, New Addington, Croydon CR0",3,1,2,
17,"£595,000","Rosecroft Gardens, Twickenham TW2",4,2,2,
18,"£500,000","Clarence Way, London NW1",2,1,1,
19,"£575,000","Gleneagles, Stanmore HA7",3,1,2,
20,"£2,995,000","All Saints Road, Notting Hill, London W11",4,1,4,
21,"£5,450,000","Redcliffe Road, Chelsea SW10",6,4,4,
22,"£215,000","Heathdene Drive, Belvedere DA17",2,1,1,
23,"£475,000","Winchester Avenue, London NW6",1,1,1,
24,"£290,000","Regents Lodge, West Drayton UB7",1,1,1,
25,"£895,000","Sugden Road, London SW11",3,1,2,
26,"£550,000","Gyllyngdune Gardens, Ilford IG3",3,2,1,
27,"£585,000","The Old Ice Cream Works, Chatsworth Road, London E5",2,,1,
28,"£1,650,000","The Ridgeway, Enfield EN2",6,2,3,
29,"£550,000","Morley Road, North Cheam, Sutton SM3",4,1,1,
30,"£420,000","Roebuck Road, Chessington KT9",3,1,1,
31,"£525,000","Gassiot Way, Sutton SM1",4,2,1,
32,"£530,000","Robert Street, London NW1",2,1,1,
33,"£575,000","Balham High Road, London SW12",2,1,2,
34,"£650,000","Cranston Park Avenue, Upminster RM14",2,3,2,
35,"£400,000","Dagenham, Essex, . RM9",3,1,1,
36,"£550,000","1 Moorhen Drive, West Hendon NW9",2,1,1,
37,"£550,000","Tarling House, Elephant Park, London SE17",1,1,1,
38,"£575,000","Belmont Road, London SE25",3,2,1,
39,"£500,000","Edgware Road, London W2",2,1,1,
40,"£1,300,000","London, London N19",7,2,4,
41,"£400,000","Edmund Street, London SE5",1,1,1,
42,"£425,000","Bursland Road, Ponders End, Enfield EN3",3,1,1,
43,"£815,000","Albert Palace Mansions, Lurline Gardens SW11",2,1,1,
44,"£550,000","Iris Avenue, Bexley DA5",4,3,1,
45,"£545,000","Cockfosters Road, Cockfosters, Barnet EN4",3,1,2,
46,"£475,000","Stockwell Road, Brixton SW9",1,1,1,
47,"£650,000","Venner Road, London SE26",4,1,2,
48,"£310,000","Bisson Road, London E15",1,1,1,
49,"£475,000","Wilmer Place, London N16",1,1,1,
50,"£90,000","Eden House, 20-22 Deptford High Street, London SE8",,,1,
51,"£230,000","Verve Apartments, Mercury Gardens, Romford RM1",1,1,1,
52,"£1,250,000","Alberts Court, 2 Palgrave Gardens, London NW1",2,1,2,
53,"£350,000","East Croft House, 86 Northolt Road, Harrow, Middlesex HA2",2,1,2,
54,"£549,950","Grove Road, Twickenham TW2",2,2,1,
55,"£440,000","London, London N5",1,1,1,
56,"£899,950","Wickham Avenue, North Cheam, Sutton SM3",4,2,2,
57,"£545,000","Merton Road, London SW19",3,,2,
58,"£875,000","Rennie Court, 11 Upper Ground, South Bank, London SE1",2,1,2,
59,"£865,000","The Croft, High Barnet, Hertfordshire EN5",4,2,2,
60,"£400,000","Braybourne Close, Uxbridge UB8",2,1,1,
61,"£360,000","Crunden Road, South Croydon CR2",2,2,2,
