,price,address,beds,reception,bathrooms,contact_number
0,"£160,000","Yew Tree Avenue, Fallowfield, Manchester, Greater Manchester M14",3,2,1,
1,"£1,350,000","Chatsworth Road, Worsley M28",4,,,
2,"£230,000","Manchester Road, Red House M27",2,,,
3,"£850,000","Chatsworth Road, Eccles M30",5,,,
4,"£3,500,000","Chatsworth Road, Worsley M28",5,,,
5,"£225,000","Chorlton Brook, 18 Chorlton Brook M30",2,,,
6,"£1,000,000","Chatsworth Road, Worsley M28",4,,,
7,"£255,000","Brookfield, Prestwich, Manchester, Greater Manchester M25",3,1,1,
8,"£170,000","Greengate East, Manchester M40",3,1,1,
9,"£1,800,000","Crown Street, Manchester M15",3,1,1,
10,"£140,000","12 Whitelow Road, Manchester M21",1,1,1,
11,"£215,000","Beastow Road, Manchester M12",3,1,1,
12,"£165,000","Bishops Corner, Manchester M15",2,1,1,
13,"£120,000","Kenwyn Street, Manchester M40",2,2,1,
14,"£219,950","Alan Road, Withington, Manchester M20",2,1,2,
15,"£260,000","Newton Road, Failsworth, Manchester M35",4,1,1,
16,"£251,995","""The Portland"" at Edge Lane, Droylsden, Manchester M43",3,2,2,
17,"£251,995","""The Portland"" at Edge Lane, Droylsden, Manchester M43",3,2,2,
18,"£220,000","Marlborough Road, Stretford, Manchester M32",3,2,1,
19,"£300,000","Murray's Mills, Manchester M4",2,1,2,
20,"£225,000","Belmont Street, Monton, Manchester M30",2,2,1,
21,"£199,950","X1 Media City Tower 2, Michigan Avenue, Salford, Greater Manchester M50",2,1,2,
22,"£245,234","Water Street, Manchester M3",2,1,2,
23,"£235,000","Water Street, Manchester M3",2,1,2,
24,"£450,000","Castlefield Avenue, Salford M7",4,2,1,
25,"£199,995","Number One Pink, Media City, Salford M50",2,1,2,
26,"£150,000","Shakespeare Crescent, Eccles, Manchester M30",3,2,2,
27,"£250,000","Gloucester Road, Salford M6",3,2,2,
28,"£295,000","Atherstone Avenue, Crumpsall, Manchester M8",6,3,2,
29,"£1,263,158","Crown Street, Manchester M15",3,1,1,
30,"£1,368,421","Crown Street, Manchester M15",3,1,1,
31,"£527,139","Embankment West, Manchester M3",3,1,1,
32,"£608,907","Crown Street, Manchester M15",2,1,1,
33,"£240,000","Larks Rise, Manchester M43",3,1,1,
34,"£129,950","Lumb Lane, Droylsden, Manchester M43",2,1,1,
35,"£385,000","Axis Tower, Whitworth Street West, Manchester M1",2,1,1,
36,"£279,950","Middleton Road, Crumpsall, Manchester M8",3,3,2,
