,price,address,beds,reception,bathrooms,contact_number
0,"£315,000","Mersea Crescent, Wickford SS12",2,1,1,
1,"£285,000","Arran Court, Wickford SS12",2,1,1,
2,"£360,000","Crawford Chase, Wickford SS12",3,2,2,
3,"£699,995","Fieldway, Wickford SS12",3,2,1,
4,"£315,000","Sinclair Walk, Wickford SS12",2,,1,
5,"£425,000","Lilac Avenue, Wickford SS12",2,2,1,
6,"£325,000","Roding Way, Wickford SS12",3,1,2,
7,"£550,000","Louvaine Avenue, Wickford SS12",3,,1,
8,"£335,000","Fourth Avenue, Wickford SS11",2,1,2,
9,"£725,000","Church End Lane, Runwell, Wickford SS11",5,3,3,
10,"£575,000","Saxon Close, Runwell, Wickford SS11",4,3,2,
11,"£235,000","Bridge House Close, Wickford SS12",2,1,1,
12,"£320,000","Thorpe Close, Wickford SS12",2,1,1,
13,"£220,000","Wickford, Essex, . SS11",2,,2,
14,"£275,000","Haslemere Road, Wickford SS11",2,,1,
15,"£400,000","Victoria Crescent, Wickford SS12",3,2,2,
16,"£395,000","Charlotte Avenue, Wickford SS12",3,,1,
17,"£385,000","Woodberry Road, Wickford SS11",3,,,
18,"£600,000","Roxwell Crescent, Wickford SS12",4,3,3,
19,"£450,000","Rochford Close, Wickford SS11",4,2,3,
20,"£400,000","Saxon Close, Runwell, Wickford SS11",4,,,
21,"£205,000","Southend Road, Wickford, Essex SS11",2,,,
22,"£271,000","Ozonia Way, Wickford, Essex SS12",4,2,1,
23,"£410,000","Ozonia Way, Wickford, Essex SS12",4,2,1,
24,"£280,000","Fletcher Drive, Wickford SS12",2,2,1,
25,"£375,000","Laurel Avenue, Wickford SS12",3,2,1,
26,"£530,000","London Road, Wickford SS12",4,,,
27,"£234,000","Lower Southend Road, Wickford SS11",3,1,1,
28,"£240,000","Doeshill Drive, Wickford SS12",1,,1,
29,"£285,000","Ogilvie Court, Wickford SS12",2,1,1,
30,"£550,000","Southend Road, Wickford, Wickford, Essex SS11",6,,3,
31,"£325,000","Crouchview Close, Wickford SS11",2,,1,
32,"£220,000","Sinclair Walk, Wickford SS12",1,1,1,
33,"£325,000","Penrith Crescent, Wickford, Wickford, Essex SS11",2,,1,
34,"£400,000","Highcliffe Road, Wickford, Essex SS11",3,1,1,
35,"£295,000","Lucerne Walk, Wickford SS11",2,1,1,
36,"£349,000","David Avenue, Wickford, Essex SS11",3,,,
37,"£550,000","Fanton Chase, Shotgate, Essex SS11",4,2,2,
38,"£280,000","Highcliffe Road, Wickford, Essex SS11",3,1,1,
39,"£190,000","Golden Jubilee Way, Wickford SS12",1,1,1,
40,"£320,000","Egbert Gardens, Runwell, Wickford SS11",2,1,1,
41,"£700,000","Mount Road, Wickford SS11",4,3,1,
42,"£535,000","Louvaine Avenue, Wickford SS12",3,2,2,
43,"£475,000","Blake Hall Drive, Wickford SS11",4,2,1,
44,"£380,000","Saxon Close, Runwell SS11",4,2,2,
45,"£475,000","Camomile Drive, Wickford SS11",4,4,3,
46,"£124,500","Church End Lane, Runwell, Wickford SS11",1,1,1,
47,"£220,000","Bakers Court, Hodgson Way, Wickford, Essex SS11",2,1,1,
48,"£300,000","Kingsley Meadows, Wickford SS12",2,1,2,
49,"£400,000","Church End Lane, Runwell, Wickford SS11",4,2,2,
50,"£340,000","Terence Webster Road, Wickford SS12",3,2,2,
51,"£450,000","The Hastings, Wickford SS11",4,2,1,
52,"£280,000","Kingsley Meadows, Wickford SS12",2,1,1,
53,"£390,000","Glebe Road, Wickford SS11",3,,1,
54,"£325,000","Church End Lane, Runwell, Wickford SS11",2,,1,
55,"£500,000","Church End Lane, Runwell, Wickford SS11",4,,1,
56,"£369,500","Oak Crescent, Wickford SS11",3,,2,
57,"£400,000","Kingley Drive, Wickford SS12",4,2,1,
58,"£290,000","Shotgate, Wickford, Essex SS11",2,1,1,
59,"£315,000","Doeshill Drive, Wickford SS12",2,,,
60,"£300,000","Horkesley Way, Wickford SS12",2,1,1,
61,"£165,500","Station Avenue, Wickford, Essex SS11",2,1,1,
62,"£297,500","Ethelred Gardens, Wickford, Essex SS11",3,2,3,
63,"£250,000","Station Avenue, Wickford, Essex SS11",2,1,1,
64,"£450,000","Ethelred Gardens, Wickford, Essex SS11",3,2,3,
